"","Model.name","Eval.metric","Testing.data","Evaluating.data","Cutoff","Sensitivity","Specificity"
"1","EMmeanByROC_mergedAlgo_mergedRun_mergedData","KAPPA",0.695,NA,622,60.748,99.129
"2","EMmeanByROC_mergedAlgo_mergedRun_mergedData","TSS",0.814,NA,393,95.327,86.06
"3","EMmeanByROC_mergedAlgo_mergedRun_mergedData","ROC",0.964,NA,390.5,96.262,85.866
"4","EMcvByROC_mergedAlgo_mergedRun_mergedData","KAPPA",NA,NA,NA,NA,NA
"5","EMcvByROC_mergedAlgo_mergedRun_mergedData","TSS",NA,NA,NA,NA,NA
"6","EMcvByROC_mergedAlgo_mergedRun_mergedData","ROC",NA,NA,NA,NA,NA
"7","EMciInfByROC_mergedAlgo_mergedRun_mergedData","KAPPA",0.729,NA,492,71.028,98.064
"8","EMciInfByROC_mergedAlgo_mergedRun_mergedData","TSS",0.844,NA,317,96.262,87.899
"9","EMciInfByROC_mergedAlgo_mergedRun_mergedData","ROC",0.971,NA,321.5,96.262,88.287
"10","EMciSupByROC_mergedAlgo_mergedRun_mergedData","KAPPA",0.618,NA,709,56.075,98.161
"11","EMciSupByROC_mergedAlgo_mergedRun_mergedData","TSS",0.794,NA,452,96.262,83.059
"12","EMciSupByROC_mergedAlgo_mergedRun_mergedData","ROC",0.955,NA,459,96.262,83.833
"13","EMmedianByROC_mergedAlgo_mergedRun_mergedData","KAPPA",0.585,NA,562,78.505,92.643
"14","EMmedianByROC_mergedAlgo_mergedRun_mergedData","TSS",0.823,NA,437,95.327,86.931
"15","EMmedianByROC_mergedAlgo_mergedRun_mergedData","ROC",0.95,NA,439,95.327,87.028
"16","EMcaByROC_mergedAlgo_mergedRun_mergedData","KAPPA",0.68,NA,949,68.224,97.483
"17","EMcaByROC_mergedAlgo_mergedRun_mergedData","TSS",0.815,NA,616,95.327,86.157
"18","EMcaByROC_mergedAlgo_mergedRun_mergedData","ROC",0.962,NA,616.5,95.327,86.157
"19","EMwmeanByROC_mergedAlgo_mergedRun_mergedData","KAPPA",0.695,NA,612,63.551,98.548
"20","EMwmeanByROC_mergedAlgo_mergedRun_mergedData","TSS",0.817,NA,384,96.262,85.286
"21","EMwmeanByROC_mergedAlgo_mergedRun_mergedData","ROC",0.965,NA,389.5,96.262,86.06
