"","Model.name","Eval.metric","Testing.data","Evaluating.data","Cutoff","Sensitivity","Specificity"
"1","GAM_RUN1_AllData","ROC",0.718,NA,548.5,54.545,84.211
"2","GAM_RUN1_AllData","TSS",0.388,NA,550.5,54.545,84.211
"3","GAM_RUN1_AllData","KAPPA",0.393,NA,550.5,54.545,84.211
"4","GBM_RUN1_AllData","ROC",0.764,NA,454,77.273,77.193
"5","GBM_RUN1_AllData","TSS",0.545,NA,453,77.273,77.193
"6","GBM_RUN1_AllData","KAPPA",0.49,NA,453,77.273,77.193
"7","RF_RUN1_AllData","ROC",0.741,NA,227,72.727,71.93
"8","RF_RUN1_AllData","TSS",0.447,NA,227,72.727,71.93
"9","RF_RUN1_AllData","KAPPA",0.41,NA,340,59.091,80.702
"10","GAM_RUN2_AllData","ROC",0.631,NA,32,90.909,38.596
"11","GAM_RUN2_AllData","TSS",0.295,NA,30,90.909,36.842
"12","GAM_RUN2_AllData","KAPPA",0.244,NA,914,36.364,85.965
"13","GBM_RUN2_AllData","ROC",0.776,NA,426.5,86.364,64.912
"14","GBM_RUN2_AllData","TSS",0.506,NA,385.5,90.909,59.649
"15","GBM_RUN2_AllData","KAPPA",0.401,NA,438.5,81.818,66.667
"16","RF_RUN2_AllData","ROC",0.843,NA,333,90.909,73.684
"17","RF_RUN2_AllData","TSS",0.646,NA,332,90.909,73.684
"18","RF_RUN2_AllData","KAPPA",0.547,NA,332,90.909,73.684
"19","GAM_RUN3_AllData","ROC",0.715,NA,690.5,72.727,70.175
"20","GAM_RUN3_AllData","TSS",0.429,NA,690.5,72.727,70.175
"21","GAM_RUN3_AllData","KAPPA",0.372,NA,690.5,72.727,70.175
"22","GBM_RUN3_AllData","ROC",0.686,NA,384.5,81.818,59.649
"23","GBM_RUN3_AllData","TSS",0.415,NA,383,81.818,59.649
"24","GBM_RUN3_AllData","KAPPA",0.328,NA,383,81.818,59.649
"25","RF_RUN3_AllData","ROC",0.7,NA,195,86.364,56.14
"26","RF_RUN3_AllData","TSS",0.425,NA,195,86.364,56.14
"27","RF_RUN3_AllData","KAPPA",0.325,NA,195,86.364,56.14
"28","GAM_RUN4_AllData","ROC",0.663,NA,327,86.364,47.368
"29","GAM_RUN4_AllData","TSS",0.337,NA,327,86.364,47.368
"30","GAM_RUN4_AllData","KAPPA",0.245,NA,327,86.364,47.368
"31","GBM_RUN4_AllData","ROC",0.771,NA,416.5,68.182,77.193
"32","GBM_RUN4_AllData","TSS",0.454,NA,414.5,68.182,77.193
"33","GBM_RUN4_AllData","KAPPA",0.419,NA,414.5,68.182,77.193
"34","RF_RUN4_AllData","ROC",0.82,NA,246,86.364,77.193
"35","RF_RUN4_AllData","TSS",0.618,NA,240,86.364,73.684
"36","RF_RUN4_AllData","KAPPA",0.536,NA,240,86.364,73.684
"37","GAM_RUN5_AllData","ROC",0.78,NA,439.5,90.909,64.912
"38","GAM_RUN5_AllData","TSS",0.558,NA,440,90.909,64.912
"39","GAM_RUN5_AllData","KAPPA",0.446,NA,440,90.909,64.912
"40","GBM_RUN5_AllData","ROC",0.823,NA,391.5,81.818,75.439
"41","GBM_RUN5_AllData","TSS",0.573,NA,390.5,81.818,75.439
"42","GBM_RUN5_AllData","KAPPA",0.519,NA,533,54.545,92.982
"43","RF_RUN5_AllData","ROC",0.866,NA,307,77.273,85.965
"44","RF_RUN5_AllData","TSS",0.632,NA,306,77.273,85.965
"45","RF_RUN5_AllData","KAPPA",0.607,NA,306,77.273,85.965
"46","GAM_RUN6_AllData","ROC",0.713,NA,86.5,100,36.842
"47","GAM_RUN6_AllData","TSS",0.368,NA,85,100,36.842
"48","GAM_RUN6_AllData","KAPPA",0.277,NA,320,81.818,54.386
"49","GBM_RUN6_AllData","ROC",0.744,NA,281.5,90.909,57.895
"50","GBM_RUN6_AllData","TSS",0.47,NA,277,90.909,54.386
"51","GBM_RUN6_AllData","KAPPA",0.36,NA,295.5,86.364,59.649
"52","RF_RUN6_AllData","ROC",0.782,NA,214,86.364,68.421
"53","RF_RUN6_AllData","TSS",0.548,NA,213,86.364,68.421
"54","RF_RUN6_AllData","KAPPA",0.453,NA,213,86.364,68.421
"55","GAM_RUN7_AllData","ROC",0.682,NA,544.5,68.182,71.93
"56","GAM_RUN7_AllData","TSS",0.401,NA,542,68.182,71.93
"57","GAM_RUN7_AllData","KAPPA",0.356,NA,542,68.182,71.93
"58","GBM_RUN7_AllData","ROC",0.732,NA,593,54.545,84.211
"59","GBM_RUN7_AllData","TSS",0.388,NA,591,54.545,84.211
"60","GBM_RUN7_AllData","KAPPA",0.393,NA,591,54.545,84.211
"61","RF_RUN7_AllData","ROC",0.756,NA,201,81.818,63.158
"62","RF_RUN7_AllData","TSS",0.45,NA,203,81.818,63.158
"63","RF_RUN7_AllData","KAPPA",0.41,NA,425,59.091,82.456
"64","GAM_RUN8_AllData","ROC",0.739,NA,492,81.818,64.912
"65","GAM_RUN8_AllData","TSS",0.457,NA,529.5,77.273,68.421
"66","GAM_RUN8_AllData","KAPPA",0.393,NA,724,54.545,84.211
"67","GBM_RUN8_AllData","ROC",0.756,NA,401.5,77.273,73.684
"68","GBM_RUN8_AllData","TSS",0.492,NA,398,77.273,71.93
"69","GBM_RUN8_AllData","KAPPA",0.427,NA,398,77.273,71.93
"70","RF_RUN8_AllData","ROC",0.786,NA,229,86.364,64.912
"71","RF_RUN8_AllData","TSS",0.492,NA,254,77.273,70.175
"72","RF_RUN8_AllData","KAPPA",0.463,NA,303,68.182,80.702
"73","GAM_RUN9_AllData","ROC",0.695,NA,551.5,72.727,64.912
"74","GAM_RUN9_AllData","TSS",0.376,NA,552,72.727,64.912
"75","GAM_RUN9_AllData","KAPPA",0.315,NA,552,72.727,64.912
"76","GBM_RUN9_AllData","ROC",0.701,NA,373,86.364,59.649
"77","GBM_RUN9_AllData","TSS",0.46,NA,373,86.364,59.649
"78","GBM_RUN9_AllData","KAPPA",0.36,NA,373,86.364,59.649
"79","RF_RUN9_AllData","ROC",0.675,NA,236,81.818,57.895
"80","RF_RUN9_AllData","TSS",0.397,NA,237,81.818,57.895
"81","RF_RUN9_AllData","KAPPA",0.31,NA,237,81.818,57.895
"82","GAM_RUN10_AllData","ROC",0.746,NA,707.5,59.091,80.702
"83","GAM_RUN10_AllData","TSS",0.397,NA,506,81.818,57.895
"84","GAM_RUN10_AllData","KAPPA",0.433,NA,793.5,45.455,92.982
"85","GBM_RUN10_AllData","ROC",0.773,NA,433.5,81.818,73.684
"86","GBM_RUN10_AllData","TSS",0.537,NA,427,81.818,70.175
"87","GBM_RUN10_AllData","KAPPA",0.46,NA,427,81.818,70.175
"88","RF_RUN10_AllData","ROC",0.798,NA,319,86.364,71.93
"89","RF_RUN10_AllData","TSS",0.565,NA,311.5,86.364,70.175
"90","RF_RUN10_AllData","KAPPA",0.486,NA,382,68.182,80.702
