year,month,auc,tss,mean_auc,mean_tss
2000,1,0.974,0.819,0.9731666666666666,0.8263333333333333
2000,2,0.967,0.815,0.9777777777777777,0.8743888888888889
2000,3,0.948,0.754,0.9624999999999999,0.8137222222222222
2000,4,0.917,0.642,0.932,0.6877222222222222
2000,5,0.935,0.713,0.9438333333333333,0.7235555555555555
2000,6,0.933,0.688,0.9419444444444445,0.7143333333333333
2000,8,0.915,0.655,0.9398333333333333,0.7325555555555556
2000,9,0.963,0.777,0.9735,0.8503888888888889
2000,10,0.944,0.721,0.9597222222222221,0.7946666666666666
2000,11,0.958,0.795,0.9657222222222221,0.8256111111111112
2001,1,0.978,0.837,0.9731666666666666,0.8263333333333333
2001,2,0.967,0.812,0.9777777777777777,0.8743888888888889
2001,3,0.949,0.766,0.9624999999999999,0.8137222222222222
2001,4,0.921,0.653,0.932,0.6877222222222222
2001,5,0.938,0.711,0.9438333333333333,0.7235555555555555
2001,6,0.935,0.689,0.9419444444444445,0.7143333333333333
2001,8,0.914,0.665,0.9398333333333333,0.7325555555555556
2001,9,0.96,0.768,0.9735,0.8503888888888889
2001,10,0.942,0.715,0.9597222222222221,0.7946666666666666
2001,11,0.958,0.797,0.9657222222222221,0.8256111111111112
2002,1,0.973,0.833,0.9731666666666666,0.8263333333333333
2002,2,0.965,0.823,0.9777777777777777,0.8743888888888889
2002,3,0.947,0.755,0.9624999999999999,0.8137222222222222
2002,4,0.916,0.644,0.932,0.6877222222222222
2002,5,0.938,0.702,0.9438333333333333,0.7235555555555555
2002,6,0.936,0.69,0.9419444444444445,0.7143333333333333
2002,8,0.918,0.66,0.9398333333333333,0.7325555555555556
2002,9,0.965,0.806,0.9735,0.8503888888888889
2002,10,0.944,0.722,0.9597222222222221,0.7946666666666666
2002,11,0.96,0.802,0.9657222222222221,0.8256111111111112
2003,1,0.972,0.813,0.9731666666666666,0.8263333333333333
2003,2,0.965,0.825,0.9777777777777777,0.8743888888888889
2003,3,0.947,0.75,0.9624999999999999,0.8137222222222222
2003,4,0.915,0.634,0.932,0.6877222222222222
2003,5,0.938,0.704,0.9438333333333333,0.7235555555555555
2003,6,0.936,0.693,0.9419444444444445,0.7143333333333333
2003,8,0.919,0.655,0.9398333333333333,0.7325555555555556
2003,9,0.961,0.78,0.9735,0.8503888888888889
2003,10,0.94,0.699,0.9597222222222221,0.7946666666666666
2003,11,0.958,0.792,0.9657222222222221,0.8256111111111112
2004,1,0.973,0.826,0.9731666666666666,0.8263333333333333
2004,2,0.966,0.799,0.9777777777777777,0.8743888888888889
2004,3,0.945,0.747,0.9624999999999999,0.8137222222222222
2004,4,0.91,0.613,0.932,0.6877222222222222
2004,5,0.938,0.701,0.9438333333333333,0.7235555555555555
2004,6,0.936,0.697,0.9419444444444445,0.7143333333333333
2004,8,0.916,0.666,0.9398333333333333,0.7325555555555556
2004,9,0.959,0.782,0.9735,0.8503888888888889
2004,10,0.939,0.697,0.9597222222222221,0.7946666666666666
2004,11,0.96,0.798,0.9657222222222221,0.8256111111111112
2005,1,0.972,0.804,0.9731666666666666,0.8263333333333333
2005,2,0.968,0.819,0.9777777777777777,0.8743888888888889
2005,3,0.946,0.742,0.9624999999999999,0.8137222222222222
2005,4,0.917,0.64,0.932,0.6877222222222222
2005,5,0.938,0.71,0.9438333333333333,0.7235555555555555
2005,6,0.935,0.692,0.9419444444444445,0.7143333333333333
2005,8,0.917,0.666,0.9398333333333333,0.7325555555555556
2005,9,0.958,0.77,0.9735,0.8503888888888889
2005,10,0.942,0.715,0.9597222222222221,0.7946666666666666
2005,11,0.961,0.794,0.9657222222222221,0.8256111111111112
2006,1,0.974,0.815,0.9731666666666666,0.8263333333333333
2006,2,0.97,0.823,0.9777777777777777,0.8743888888888889
2006,3,0.947,0.74,0.9624999999999999,0.8137222222222222
2006,4,0.91,0.631,0.932,0.6877222222222222
2006,5,0.936,0.706,0.9438333333333333,0.7235555555555555
2006,6,0.932,0.681,0.9419444444444445,0.7143333333333333
2006,8,0.918,0.664,0.9398333333333333,0.7325555555555556
2006,9,0.963,0.805,0.9735,0.8503888888888889
2006,10,0.943,0.708,0.9597222222222221,0.7946666666666666
2006,11,0.959,0.809,0.9657222222222221,0.8256111111111112
2007,1,0.974,0.848,0.9731666666666666,0.8263333333333333
2007,2,0.964,0.814,0.9777777777777777,0.8743888888888889
2007,3,0.946,0.744,0.9624999999999999,0.8137222222222222
2007,4,0.911,0.622,0.932,0.6877222222222222
2007,5,0.938,0.707,0.9438333333333333,0.7235555555555555
2007,6,0.935,0.685,0.9419444444444445,0.7143333333333333
2007,8,0.921,0.686,0.9398333333333333,0.7325555555555556
2007,9,0.96,0.771,0.9735,0.8503888888888889
2007,10,0.942,0.711,0.9597222222222221,0.7946666666666666
2007,11,0.959,0.79,0.9657222222222221,0.8256111111111112
2008,1,0.976,0.832,0.9731666666666666,0.8263333333333333
2008,2,0.965,0.804,0.9777777777777777,0.8743888888888889
2008,3,0.949,0.769,0.9624999999999999,0.8137222222222222
