year,month,auc,tss,mean_auc,mean_tss
2000,1,0.8217,0.5919,0.7997833333333333,0.5638333333333333
2000,2,0.8316,0.5592,0.7489222222222223,0.4545666666666667
2000,3,0.8377,0.5738,0.81225,0.5448333333333334
2000,4,0.7292,0.3889,0.7508722222222222,0.4224
2000,5,0.8356,0.5571,0.8439722222222222,0.5601166666666667
2000,6,0.7877000000000001,0.4879,0.7923333333333333,0.4927888888888889
2000,8,0.7362,0.3744,0.7194333333333334,0.36959444444444445
2000,9,0.8387,0.5745,NA,NA
2000,10,0.7974,0.5191,0.7713888888888889,0.4864111111111111
2000,11,0.8697,0.634,0.8748611111111111,0.66505
2001,1,0.8239,0.5998,0.7997833333333333,0.5638333333333333
2001,2,0.8263,0.5665,0.7489222222222223,0.4545666666666667
2001,3,0.8498,0.5939,0.81225,0.5448333333333334
2001,4,0.7119,0.3612,0.7508722222222222,0.4224
2001,5,0.8448,0.5585,0.8439722222222222,0.5601166666666667
2001,6,0.7931,0.491,0.7923333333333333,0.4927888888888889
2001,8,0.728,0.3498,0.7194333333333334,0.36959444444444445
2001,9,0.8235,0.5518,NA,NA
2001,10,0.7904,0.49760000000000004,0.7713888888888889,0.4864111111111111
2001,11,0.875,0.6457,0.8748611111111111,0.66505
2002,1,0.7861,0.5607,0.7997833333333333,0.5638333333333333
2002,2,0.8029,0.5236000000000001,0.7489222222222223,0.4545666666666667
2002,3,0.842,0.5704,0.81225,0.5448333333333334
2002,4,0.7271,0.38270000000000004,0.7508722222222222,0.4224
2002,5,0.8538,0.5667,0.8439722222222222,0.5601166666666667
2002,6,0.79,0.4881,0.7923333333333333,0.4927888888888889
2002,8,0.7402,0.3726,0.7194333333333334,0.36959444444444445
2002,9,0.8286,0.5716,NA,NA
2002,10,0.802,0.5203,0.7713888888888889,0.4864111111111111
2002,11,0.8748,0.6404,0.8748611111111111,0.66505
2003,1,0.7895,0.5518,0.7997833333333333,0.5638333333333333
2003,2,0.8035,0.5273,0.7489222222222223,0.4545666666666667
2003,3,0.8462,0.5801000000000001,0.81225,0.5448333333333334
2003,4,0.714,0.3514,0.7508722222222222,0.4224
2003,5,0.8523,0.5771,0.8439722222222222,0.5601166666666667
2003,6,0.8014,0.512,0.7923333333333333,0.4927888888888889
2003,8,0.7292,0.3546,0.7194333333333334,0.36959444444444445
2003,9,0.7924,0.4927,NA,NA
2003,10,0.782,0.4749,0.7713888888888889,0.4864111111111111
2003,11,0.8701,0.6383,0.8748611111111111,0.66505
2004,1,0.8101,0.5778,0.7997833333333333,0.5638333333333333
2004,2,0.8186,0.5481,0.7489222222222223,0.4545666666666667
2004,3,0.8341,0.5503,0.81225,0.5448333333333334
2004,4,0.7251,0.3733,0.7508722222222222,0.4224
2004,5,0.8473999999999999,0.5579,0.8439722222222222,0.5601166666666667
2004,6,0.7894,0.4855,0.7923333333333333,0.4927888888888889
2004,8,0.7418,0.3631,0.7194333333333334,0.36959444444444445
2004,9,0.823,0.5326,NA,NA
2004,10,0.7741,0.4645,0.7713888888888889,0.4864111111111111
2004,11,0.8827,0.664,0.8748611111111111,0.66505
2005,1,0.7868,0.5542,0.7997833333333333,0.5638333333333333
2005,2,0.833,0.5685,0.7489222222222223,0.4545666666666667
2005,3,0.843,0.5688,0.81225,0.5448333333333334
2005,4,0.709,0.3539,0.7508722222222222,0.4224
2005,5,0.8457,0.5699,0.8439722222222222,0.5601166666666667
2005,6,0.7887000000000001,0.5009,0.7923333333333333,0.4927888888888889
2005,8,0.7394,0.3656,0.7194333333333334,0.36959444444444445
2005,9,0.7975,0.4971,NA,NA
2005,10,0.7881,0.4877,0.7713888888888889,0.4864111111111111
2005,11,0.877,0.6521,0.8748611111111111,0.66505
2006,1,0.8377,0.6081,0.7997833333333333,0.5638333333333333
2006,2,0.835,0.5736,0.7489222222222223,0.4545666666666667
2006,3,0.8491,0.5822,0.81225,0.5448333333333334
2006,4,0.7261,0.37670000000000003,0.7508722222222222,0.4224
2006,5,0.8375,0.5483,0.8439722222222222,0.5601166666666667
2006,6,0.7835,0.4709,0.7923333333333333,0.4927888888888889
2006,8,0.7419,0.3709,0.7194333333333334,0.36959444444444445
2006,9,0.8183,0.5636,NA,NA
2006,10,0.7958000000000001,0.5032,0.7713888888888889,0.4864111111111111
2006,11,0.8688,0.6381,0.8748611111111111,0.66505
2007,1,0.8041,0.5586,0.7997833333333333,0.5638333333333333
2007,2,0.8226,0.5396,0.7489222222222223,0.4545666666666667
2007,3,0.8369,0.5645,0.81225,0.5448333333333334
